Day,Best_time
1,57
2,73
3,66
4,64
5,79
6,67
7,77
8,62
9,66
10,67
11,74
12,78
13,75
14,67
15,76
16,66
17,63
18,83
19,74
20,62
21,83
22,59
23,69
24,80
25,59
26,74
27,68
28,90
29,54
30,72
31,84
32,65
33,75
34,71
35,78
36,51
37,98
38,45
39,63
40,59
41,71
42,88
43,63
44,58
45,66
46,68
47,75
48,77
49,82
50,71
